no;title;article;tags;img_url;publish_date;author;source_category;source_category_url;source_url
1;Sony A7R III Full-Frame Mirrorless Camera Launched in India: Price, Specifications;Sony on Tuesday launched the A7R III full-frame mirrorless camera in India. To recall, the camera had been launched last month at an event in New York, and is a refresh to the A7R II which was launched in 2015. In India, the Sony A7R III has been priced Rs. 2,64,990 for the body only, and it will go on sale from November 24. Its lens, the SEL24105G, will be priced at Rs. 1,09,990, and will go on sale on November 20.Compared to the Sony A7R II, the A7R III offers improvements like faster burst shooting, better autofocus performance and more, but fits everything in the same sized body as it predecessor.Looking at the specifications, the sensor in the new A7R III is the same 42.4-megapixel BSI CMOS sensor, but with a new front-end LSI which is said to effectively double the red out speed of the sensor. It also gets an updated BIONZ X image processor which is supposed to be about 1.8 times faster than the A7R II. This enables the camera to achieve nearly twice the burst shooting speeds compared to its predecessor, at 10fps with full autofocus when using the mechanical shutter or the electronic shutter. This lets you shoot up to 76 compressed RAW images or 28 uncompressed RAW images in burst mode. The maximum ISO as also been bumped up from ISO 25600 to ISO 32000. Autofocus speeds have improved, which now offers precise focusing in low light up to -3 EV, which an improvement of one full stop. The Eye AF is also said to have gotten an improvement in detection precision and speed.The Sony A7R III has 399 phase detection autofocus points which cover about 68 percent of the image area, and 425 contrast detection AF points. There??s 5-axis image stabilisation in the body itself, which offers 5.5 step shutter speed advantage. Sony offers a new piece of software to go with the camera, called Imaging Edge for pre and post processing work like live-view PC remote shooting and RAW development. Pixel Shift Multi Shooting is a new feature to debut with the A7R III, which shifts the sensor in 1-pixel increments to capture four separate pixel-shifted images. These four images can be composited together and processed utilising the new Imaging Edge software suite.Other improvements include a higher resolution OLED electronic viewfinder (EVF), dual SD card slots (for UHS-II and UHS-I cards) and USB Type-C (USB 3.1, Gen1) port. Sony has also added other improvements around the back of the camera which include a joystick for navigation and moving focus points, a 3-inch touchscreen for touch focus and an ??AF On?? button. The A7R III also has some rock solid video chops as it is capable of shooting 4K video, utilising the full resolution of the sensor, or in Super 35mm format, which essentially shoots at a higher resolution and then down-samples the footage to 2160x3840, thereby giving you much better detail, dynamic range and colours. It also records HLG (Hybrid Log Gamma) metadata, which lets HLG compatible HDR displays to accurately display the footage without needing any post processing. High framerate shooting is also present at 1080p 120fps.;Cameras,                                      Sony,                                      Sony A7R III,                                      Sony A7R III Price,                                      Sony A7R III Price in India,                                      Sony A7R III Specifications,                                      Sony India;https://i.gadgets360cdn.com/large/sony_a7r_III_india_1510657256907.jpg?output-quality=80;14-Nov-17;Gadgets 360 Staff,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/sony-a7r-iii-price-india-launch-specifications-availability-1775288
2;Panasonic Lumix G9 With 60fps Burst Shot Speed Launched, Targeted at Still Photographers;"Panasonic on Wednesday announced the Lumix G9 as its newest flagship camera - sitting alongside the videography-centric Lumix GH5. The new mirrorless Lumix camera is specifically aimed at still photographers with features such as an ultra-fast, 60fps burst shot speed and an improved five-axis in-body image stabilisation. The Japanese company will start selling the new model beginning January 2018 with a body-only price tag of?$1,699.Similar to the Lumix GH5 that was launched in India back in March, the Panasonic Lumix G9 has a 20.3-megapixel Micro Four Thirds image sensor along with a Venus engine that jointly enable the iconic 60fps burst speed in AF-S mode (fixed focus). You can also switch to 20fps in continuous AF-C that uses the built-in electronic shutter to lock objects. Both the modes enables you to capture up to 50 RAW or JPEG images. This is lower than Sony's A9 or A7R III that can capture over 200 images. However, you have also been provided with an option to use the mechanical shutter and capture up to 9fps with continuous AF to take as many as 600 JPEG or 60 RAW files.Panasonic has additionally provided a software-level tweak on the Lumix G9 through a new High Resolution mode that allows you to have 80 megapixels (equivalent) images in both JPEG and RAW formats. The camera basically combines eight images captured while shifting the sensor to give larger results than the hardware limit.If the image sensor of the Lumix G9 isn't something that persuades you to pick it as your next travelling partner, there is the upgraded image stabilisation system that helps you receive up to 6.5 additional stops of brightness. The latest Lumix flagship also has compatibility with optical image stabilisation (OIS) lenses to reduce the impact of jerks and shakes. Further, the available anti-shake system is designed for both still images as well as video files.The Lumix G9 has a 0.83x magnification electronics viewfinder that has a resolution of 3,680k dots. The natively designed viewfinder is touted to have ""zero blackout"" even for high-speed shootings. Also, there are three modes of magnification to let you capture detailed shots.Alongside the list of upgrades for top-notch still images, the Lumix G9 is capable of recording 4K videos at a frame rate of up to 60 fps. However, support to record 10-bit video footage that was acclaimed on the Lumix GH5 is missing.The Lumix G9 has Wi-Fi as well as Bluetooth 4.2 wireless connectivity support alongside USB charging and dual SD card slots with the compatibility for UHS-II/V90 storage options. Moreover, the camera has a 3-inch touch-supported LCD monitor and a dust- and splash-resistant build.";Cameras,                                      Lumix G9,                                      Panasonic,                                      Panasonic Lumix G9;;8-Nov-17;Jagmeet Singh,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/panasonic-lumix-g9-launch-price-specifications-1772901
3;Drone Draft Regulations Released, Include Civil and Commercial Use;"The government on Wednesday issued draft regulations on the civil use of drones, which will also enable commercial use of Unmanned Aerial Vehicles for photography, doorstep delivery, and even passenger transport.The draft regulations -?arrived at after discussions with stakeholders -?would be placed in the public domain for a month to seek comments and suggestions, after which the rules would be finalised, Civil Aviation Minister Ashok Gajapathi Raju otld the media in New Delhi.""By December 31, we will be in a position to come up with the final regulatory framework for the use of drones,"" Civil Aviation Secretary R.N. Choubey added.Under the draft rules issued by the Directorate General of Civil Aviation (DGCA), drones have been classified into five categories based on maximum take-off weight: nano (up to 250g), micro (251g?to two kg), mini (2kg to 25kg), small (25kg to 150kg) and large (over 150kg).""Except for nano category and those operated by government security agencies, all other commercial categories of drones will be registered by the DGCA, which will issue it a Unique Identification Number,"" Choubey said.A Civil Aviation Ministry statement said that mini and above categories will require Unmanned Aircraft Operator Permit while model aircraft up to 2kg flown below 200 feet inside educational institution premises will not require permit or identification number.Remote pilots of the drones will have to undergo requisite training, except in case of nano and micro categories, the statement added.The draft rules also imposed restrictions on the use of drones in terms of no-fly zones, including area within 5km radius from an airport, within 50km from international border, beyond 500 metres of the coastline, within 5km radius of Vijay Chowk in Delhi, and from mobile platform such as moving vehicles, ships or aircraft.They would also not be permitted to fly over densely populated areas without prior approval and over areas affecting public safety or where emergency operations are underway, the statement added.Minister of State for Civil Aviation Jayant Sinha said once the final rules are formulated, drones could be used for tasks like wildlife photography, delivering medical supplies, e-commerce deliveries, inspection of pipelines, and even passenger transport.The purpose is to facilitate innovative applications of this technology, he said.";Drones,                                      Drones in India,                                      India,                                      Transportation,                                      Unmanned Aerial Vehicles;https://cdn.ndtv.com/tech/images/gadgets/drones_pixabay_105.jpg?output-quality=80;2-Nov-17;Indo-Asian News Service,;Transportation;https://gadgets.ndtv.com/transportation;https://gadgets.ndtv.com/transportation/news/drone-draft-regulations-released-include-civil-and-commercial-use-1770109
4;Sony Expects Best-Ever Annual Profit on Image Sensor Sales;"Japan's Sony Corp lifted its full-year operating income forecast on Tuesday, expecting to book its highest-ever profit due to strong sales of image sensors used in smartphones and other devices.The electronics firm forecast profit of JPY 630 billion ($5.57 billion) for the year ending March, from JPY 500 billion estimated three months ago.Meeting the new forecast would mean Sony exceeding its previous record of JPY 526 billion set in the year ended March 1998, when strong sales of consumer electronics including its first PlayStation games console coincided with its box-office hit ""Men in Black"".The new outlook compared with a Thomson Reuters Starmine SmartEstimate of 585.81 billion yen drawn from the views of 26 analysts.Sony also said profit for July-September jumped to JPY 204.2 billion from JPY 45.7 billion a year earlier. The result is higher than the JPY 140.49 billion average estimate of 11 analysts.The semiconductor division, which include sensors, is forecast to post profit of JPY 150 billion, up 20 billion yen from an earlier estimate and a reversal from last year's loss, as it recovered from earthquake damage sustained a year ago.A business overhaul refocusing on image sensors and games under Chief Executive Officer Kazuo Hirai has moved Sony out of a decade of doldrums and boosted the firm's stock price to nine-year highs.But the stock price has plateaued in recent months as investors have become sceptical about Sony's growth potential in coming years, when a profit boost from the earthquake recovery disappears and the PlayStation 4 console enters the late stage of its life cycle.Hoping to grow future profit pillars, Sony has been boosting investment in artificial intelligence to catch up with US?tech giants such as Amazon Inc and Alphabet Inc's Google.Sony this month unveiled its Xperia Hello! voice-activated communication robot. It is also widely expected to revive robotic pets, similar to robotic dog AIBO that went on sale in 1999.It is also aiming to lead the budding virtual-reality (VR) market by gelling with the content portion of the group's business such as music and film.In sensors, the business is trying to crack into the lucrative automotive market, where demand for sensors is rising as an increasing number of cars are mounted with autonomous driving functions based on sensing technologies.?? Thomson Reuters 2017";Entertainment,                                      Mobiles,                                      Sony,                                      Sony Mobiles,                                      Sony Pictures,                                      Sony Xperia;https://i.gadgets360cdn.com/large/sony_logo_reuters_1501574057373.JPG?output-quality=80;31-Oct-17;Reuters,;Mobiles;https://gadgets.ndtv.com/mobiles;https://gadgets.ndtv.com/mobiles/news/sony-expects-best-ever-annual-profit-on-image-sensor-sales-1769431
5;Sony A7R III Full-Frame Mirrorless Camera Launched With Faster Burst, Improved Focus Speeds, and More;Sony may have its brand new flagship A9 full-frame camera to brag about but that doesn ??t mean its forgotten about its very popular A7 series. At an event in New York, the company announced the A7R III, a refresh to the A7R II which was launched in 2015. The new model offers a host of improvements like faster burst shooting, better autofocus performance and lots more, in the same sized body as it predecessor. The Sony A7R III will go on sale in November for about $3,200 (roughly Rs. 2,08,100).Starting with the main bits, the sensor in the new A7R III is the same 42.4-megapixel BSI CMOS sensor, but with a new front-end LSI which is said to effectively double the red out speed of the sensor. It also gets an updated BIONZ X image processor which is supposed to be about 1.8 times faster than the A7R II. This enables the camera to achieve nearly twice the burst shooting speeds compared to its predecessor, at 10fps with full autofocus when using the mechanical shutter or the electronic shutter. This lets you shoot up to 76 compressed RAW images or 28 uncompressed RAW images in burst mode. The maximum ISO as also been bumped up from ISO 25600 to ISO 32000. Autofocus speeds have improved, which now offers precise focusing in low light up to -3 EV, which an improvement of one full stop. The Eye AF is also said to have gotten an improvement in detection precision and speed.The Sony A7R III has 399 phase detection autofocus points which cover about 68 percent of the image area, and 425 contrast detection AF points. There ??s 5-axis image stabilisation in the body itself, which offers 5.5 step shutter speed advantage. Sony offers a new piece of software to go with the camera, called Imaging Edge for pre and post processing work like live-view PC remote shooting and RAW development. Pixel Shift Multi Shooting is a new feature to debut with the A7R III, which shifts the sensor in 1-pixel increments to capture four separate pixel-shifted images. These four images can be composited together and processed utilising the new Imaging Edge software suite.Other improvements include a higher resolution OLED electronic viewfinder (EVF), dual SD card slots (for UHS-II and UHS-I cards) and USB Type-C (USB 3.1, Gen1) port. Sony has also added other improvements around the back of the camera which include a joystick for navigation and moving focus points, a 3-inch touchscreen for touch focus and an ??AF On?? button. The A7R III also has some rock solid video chops as it is capable of shooting 4K video, utilising the full resolution of the sensor, or in Super 35mm format, which essentially shoots at a higher resolution and then down-samples the footage to 2160x3840, thereby giving you much better detail, dynamic range and colours. It also records HLG (Hybrid Log Gamma) metadata, which lets HLG compatible HDR displays to accurately display the footage without needing any post processing. High framerate shooting is also present at 1080p 120fps.;Sony A7R III,                                      Sony A7R III features,                                      Sony A7R III launch,                                      Sony A7R III price,                                      Sony A7R III price in India,                                      Sony A7R III specification;https://i.gadgets360cdn.com/large/sony_a7r_III_cover_1508997758639.jpg?output-quality=80;26-Oct-17;Roydon Cerejo,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/sony-a7r-iii-launch-price-specifications-features-1767340
6;Huawei Mate 10 Pro, With DxO Mark Score of 97, Said to Take Better Pictures Than iPhone 8 Plus;"Chinese conglomerate Huawei said last week that the duo of rear camera sensors on the Huawei Mate 10 Pro can take great pictures. Well, you don't have to take Huawei's word for it, as an independent credible firm DxO has something similar to say. DxO liked the camera sensors on the Huawei Mate 10 Pro so much, it gave it an overall score of 97 in its popular benchmarking test.Last week, DxO published a comprehensive review of the camera sensors on the Huawei Mate 10 Pro, surprising many when it said the Huawei Mate 10 Pro has received a score of 100 for its photo performance. The company additionally gave the handset 91 for video performance.Moving along, the sensors on the Huawei Mate 10 Pro received 86 for colour accuracy and reproduction, 96 for auto-focus, 67 for texture, 84 for flash, 40 for zoom, and 50 for bokeh effect when taking pictures. The camera sensors on the newly launched flagship smartphones offer ""good detail preservation, even in low light, and low levels of noise,"" DxO Mark wrote in its review. The Huawei Mate 10 Pro offers ""good target exposure and wide dynamic range,"" and the camera sensors are ""very fast and [provide] repeatable autofocus,"" the company wrote.To put things in perspective, the iPhone 8 and iPhone 8 Plus have a DxO Mark score of 94, whereas the Samsung Galaxy Note 8 received a score of 94. At present, the Google's Pixel 2 XL smartphone tops the chart with a score of 98.Separately, Huawei has partnered with Microsoft to bring LinkedIn to Mate 10-series of smartphones. As part of the agreement, Microsoft says it is also bringing Translator app to Huawei newly-launched smartphones. Translator app, Microsoft said, will do the processing on the device itself. In a blog post, Microsoft said LinkedIn is now part of EMUI 8.";Android,                                      Camera,                                      DxO,                                      Huawei,                                      Huawei Mate 10,                                      Huawei Mate 10 Pro,                                      Mobiles;https://i.gadgets360cdn.com/large/huawei_mate_10_pro_official_1508751558366.jpg?output-quality=80;23-Oct-17;Gadgets 360 Staff,;Mobiles;https://gadgets.ndtv.com/mobiles;https://gadgets.ndtv.com/mobiles/news/huawei-mate-10-pro-97-dxo-mark-score-1765958
7;Samsung 360 Round Camera With 17 Lenses Launched, Focused on VR Content;"Samsung at its Developer Conference (SDC2017) unveiled the all-new 360 Round, a camera targeted at creating high-quality 3D content. This isn't Samsung's first attempt at 360-degree camera as the company previously announced the Gear 360 long back. The new Samsung 360 Round, however, is completely focused at creating virtual reality content, and not just streaming 360-degree videos.The Samsung 360 Round camera uses 17 lenses which are placed in an arrangement of eight stereo pairs positioned horizontally and one single lens positioned vertically-to livestream 4K 3D video and spatial audio. Making the new 360-degree camera slightly durable is the IP65 water and dust resistance. The 360 Round sports a fanless design that helps in reducing weight and eliminates background noise. Samsung also ships additional features including PC software for controlling and stitching videos. It comes with expandable external storage support up to 256GB via SD card and up to 2TB via SSD. For post processing, it supports Windows 10 machines and a PC with at least Intel Core i7 or above and Nvidia GeForce GTX 1080 GPU.There's no pricing announced though CNET reports that the 360 Round comes with a hefty $10,500 price tag. The Samsung 360 Round will be made available in October in the US before expanding to other markets over time.Announcing the new 360 Round, Suk-Jea Hahn, Executive Vice President of Samsung Electronics' Global Mobile B2B Team said, ""The Samsung 360 Round is a testament to our leadership in the VR market. We have developed a product that contains innovative VR features, allowing video producers and broadcast professionals to easily produce high quality 3D content. The combination of livestreaming capabilities, IP65 water and dust resistance and 17 lenses makes this camera ideal for a broad range of use cases our customers' want-from live-streaming major events to filming at training facilities across various industries.""";Cameras,                                      Samsung,                                      Samsung 360 Round,                                      Virtual Reality;;20-Oct-17;Ketan Pratap,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/samsung-360-round-camera-sports-17-lenses-vr-content-1764952
8;Canon PowerShot G1 X Mark III With APS-C Sensor, Dual Pixel Autofocus Launched;Canon has refreshed its popular G1 X lineup with the introduction of the PowerShot G1 X Mark III. By adding an APS-C sensor from its mirrorless and DSLR range, the?PowerShot?G1 X Mark III is Canon??s first point-and-shoot camera to feature such a large sensor. The camera is scheduled to be available in November for an estimated retail price of $1,299 (roughly Rs. 84,100).?The big highlight of the PowerShot G1 X Mark III is the APS-C CMOS sensor, that??s found in Canon??s EOS M6?and EOS 77D?(Review). The body is made of magnesium alloy and features an updated DIGIC 7 image processor, optical stabilisation, RAW format support, and an articulating 3-inch LCD touchscreen. Since this is a point-and-shoot, the lens is not interchangeable so we get a fixed 24-72mm lens with a f/2.8-5.6 aperture and 3x optical zoom. The sensor has 49 focus points, an ISO range of 100-25,600, maximum shutter speed of 1/2000 sec and continuous shooting of 9fps.?The Canon PowerShot G1 X Mark III supports full-HD video recording of up to 60fps with stereo audio recording. The camera can also be charged via the Micro-USB port. There??s a Micro-HDMI port too for TV-out. There??s built-in Wi-Fi, Bluetooth and NFC for connecting the camera to your smartphone. Battery life seems a bit disappointing as the CIPA rating is only 200 shots per charge.???As we continue to evolve the popular Canon PowerShot G-series line, we remain committed to incorporating both our latest innovations and the features photographers are looking for in an advanced, compact camera,? said Yuichi Ishizuka, president and COO, Canon U.S.A. ??With the new PowerShot G1 X Mark III, users will appreciate the quality and overall performance made possible using a APS-C sensor, alongside upgraded capabilities that can enable the capture of amazing photo and video, even in lowlight conditions.?;;https://i.gadgets360cdn.com/large/Untitled_1508145603007.jpg?output-quality=80;16-Oct-17;Gadgets 360 Staff,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/canon-powershot-g1-x-mark-iii-launch-price-specifications-1763540
9;"Amazon Diwali Sale Dates Announced. Discounts on Mobile Phones, TVs, Laptops, and More";"Amazon will host?the next Great Indian Festival sale for?Diwali from October 14 to October 17, the same days arch rival Flipkart will have its own sale. The Amazon sale will offer discounts and deals on products in categories like smartphones, TVs, laptops, accessories, headphones, speakers, and other electronics. Along with these, shoppers can also get deals on home appliances, home d??cor etc. As has become the staple for online sales nowadays, Amazon will be offering no cost EMIs on as many as 30,000 products, exchange discounts, and cashbacks on Amazon Pay (up to Rs. 500) and SBI credit and debit cards (10 percent) in its Diwali sale.Amazon sale deals on mobile phones and other electronicsStarting with mobiles and accessories, Amazon says users can expect up to 50 percent off in the category. Mobiles will see discounts of up to 40 percent, and accessories on the other hand should see discounts up to 80 percent, with up to 65 percent off on power banks, 80 percent off on mobile cases, and up to 20 percent off on Bluetooth headsets.As for other categories, Amazon says users can expect up to 40 percent off on TVs, up to 20,000 off on laptops, up to 60 percent off on headphones and speakers, up to 50 percent off on storage devices, up to 60 percent off on video games, and, up to 60 percent off on networking devices. The company is also offering up to 60 percent off on Amazon Basics products.Brands such as Xiaomi, Lenovo, OnePlus, Apple, Samsung, LG, HP, Dell, Titan, and Fastrack will be offering discounts during the Amazon Great Indian Festival Sale. The Amazon Fire TV stick will also be discounted, the company revealed.Amazon will also be offering Golden Hours Deals, from 8am to 12pm. There will also be special Dhanteras Offers, and deals under Rs. 499. Finally, Amazon Prime members can also expect Prime Exclusive deals, though for now these haven't been detailed.";Accessories,                                      Amazon,                                      Amazon Great Indian Festival Sale,                                      Android,                                      Apple,                                      Apps,                                      Dhanteras,                                      Diwali,                                      Diwali Sale,                                      Headphones,                                      India,                                      Intenret,                                      Laptops,                                      Mobiles,                                      Speakers,                                      TVs;https://i.gadgets360cdn.com/large/amazon_great_indian_festival_blue_1507791453350.jpg?output-quality=80;12-Oct-17;Gadgets 360 Staff,;Internet;https://gadgets.ndtv.com/internet;https://gadgets.ndtv.com/internet/news/amazon-diwali-sale-dates-announced-discounts-on-mobile-phones-tvs-laptops-and-more-1761931
10;Fujifilm X-E3 Mirrorless Camera With 4K Video Support Launched in India: Price, Specifications;"Fujifilm on Wednesday launched the Fujifilm X-E3 rangefinder style ultra-compact mirrorless interchangeable lens camera in India. It is now available to buy in India in Black and Silver colour variants. It has been priced at Rs. 70,999 for body only, Rs. 1,02,999 with the 18-55mm f/2.8-4 kit, and Rs. 89,999 with the XF23mm f/2.0 kit.The Fujifilm X-E3 was launched last month globally. The mid-range mirrorless camera is the company's smallest viewfinder-equipped camera. It features a 24.3-megapixel X-Trans III sensor found on other X-models like the X-Pro2 as well as a touchscreen display and 4K video recording, among other things. It is powered by X Processor Pro high-speed image processing engine, said to deliver best-in-class colour reproduction on both stills and video. In terms of design, the X-E3 follows a similar language compared to the previous model. It is, however, smaller and lighter and adds some notable features like a new front control wheel and a rear, joystick-like lever to control the focus region. It features the same 2.36-million dot display like the X-T2. The 3-inch touchscreen lets you tap and control focus and access menu settings if physical buttons aren't your thing. It also enables various gesture controls like flick and pinch zoom. However, pro photographers will likely feel the loss of physical buttons when switching between exposure modes and ISO.The X-E3 lets you record videos at 4K 30fps. The camera features a microphone input, but there's no port for the headphone. The company says that you can output video via the HDMI port. The X-E3 also comes with a 325-point autofocus system and has improved subject tracking with a new ""image recognition algorithm"". Notably, the X-E3 is also the first X Series model to feature Bluetooth connectivity, allowing you to pair the camera with a smartphone to transfer pictures on-the-go.Commenting on the occasion, Yasunobu Nishiyama, Managing Director, Fujifilm India Pvt. Ltd. said, ""Our latest offering - Fujifilm X-E3 is built from the essence of minimalism and has been refined to maximise functional performance to its utmost limit. Our endeavor will always be to continuously delight our customers by launching exciting new X Series line up in the coming years as well.""Written with inputs from IANS";Cameras,                                      Fujifilm,                                      Fujifilm X-E3,                                      Fujifilm X-E3 Price in India;https://i.gadgets360cdn.com/large/fujifilm_x-e3_1507725579938.jpg?output-quality=80;11-Oct-17;Gadgets 360 Staff,;Cameras;https://gadgets.ndtv.com/cameras;https://gadgets.ndtv.com/cameras/news/fujifilm-x-e3-price-india-launch-specifications-1761646
